timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753428600000,0.1101500,0.1115000,0.1090100,0.1101900,70992775,1753430399999,7809549.8742800,53691,37137510,4086297.6239600,0
1753430400000,0.1101900,0.1138000,0.1092000,0.1094000,142385422,1753432199999,15886074.0058600,90605,70563279,7875202.3941300,0
1753432200000,0.1094200,0.1113000,0.1084000,0.1097500,98019941,1753433999999,10764059.6716500,65894,52984006,5817950.1456300,0
1753434000000,0.1097500,0.1107100,0.1075100,0.1082400,99824299,1753435799999,10857756.0075300,66175,48581443,5285142.7198100,0
1753435800000,0.1082400,0.1118800,0.1077200,0.1103300,111451499,1753437599999,12283475.7786800,69674,54218239,5972250.3296700,0
1753437600000,0.1103300,0.1108000,0.1073600,0.1080200,99412136,1753439399999,10800575.3397200,59857,51569534,5603041.7027800,0
1753439400000,0.1080300,0.1100300,0.1070500,0.1096700,72894730,1753441199999,7930416.5329300,42919,36171356,3935034.6554400,0
1753441200000,0.1096700,0.1109000,0.1085000,0.1100800,88945603,1753442999999,9775702.4166800,52919,44323156,4872104.4949100,0
1753443000000,0.1101400,0.1125600,0.1092800,0.1109900,86122525,1753444799999,9575465.9688700,53272,43104920,4794402.9587700,0
1753444800000,0.1109900,0.1224400,0.1095100,0.1190400,300073364,1753446599999,34743726.8595400,152410,164406316,19059650.2809400,0
1753446600000,0.1190500,0.1295000,0.1187600,0.1269300,487569553,1753448399999,61086957.7582600,320740,251141298,31469412.2661700,0
1753448400000,0.1269700,0.1347400,0.1236300,0.1324000,379591640,1753450199999,49074823.1632800,272682,197781934,25602545.4496400,0
1753450200000,0.1324000,0.1337000,0.1183100,0.1226800,414633589,1753451999999,51490964.0388000,259903,193942550,24086444.3564700,0
1753452000000,0.1226800,0.1261000,0.1205300,0.1220000,183029555,1753453799999,22454442.8295600,124722,93410412,11470510.2667500,0
1753453800000,0.1220100,0.1250700,0.1191800,0.1226400,153421940,1753455599999,18700278.0349200,109350,77831750,9497461.3104800,0
